t,hr,eda,st
151,90.8,0.566,33.11
152,88.0,0.648,33.13
153,88.3,0.579,33.11
154,86.4,0.569,32.87
155,81.9,0.452,32.85
156,81.1,0.538,32.86
157,82.7,0.48,32.85
158,80.9,0.357,32.84
159,81.3,0.415,32.72
160,79.9,0.324,32.74
161,77.1,0.307,32.57
162,78.7,0.311,32.68
163,79.3,0.342,32.55
164,76.2,0.36,32.63
165,76.5,0.343,32.42
166,73.7,0.272,32.59
167,74.3,0.316,32.37
168,72.9,0.265,32.55
169,76.0,0.328,32.44
170,72.1,0.246,32.39
171,70.5,0.289,32.33
172,73.9,0.294,32.28
173,71.8,0.282,32.51
174,71.8,0.227,32.33
175,73.8,0.221,32.42
176,70.6,0.252,32.51
177,70.5,0.282,32.4
178,73.5,0.27,32.34
179,73.6,0.249,32.29
180,70.0,0.249,32.39
181,71.2,0.214,32.36
182,71.3,0.284,32.28
183,73.0,0.284,32.31
184,73.7,0.271,32.5
185,71.2,0.237,32.37
186,74.0,0.259,32.37
187,71.7,0.228,32.29
188,70.4,0.283,32.35
189,73.7,0.225,32.34
190,72.0,0.219,32.37
191,73.8,0.288,32.47
192,72.5,0.291,32.51
193,72.2,0.272,32.29
194,72.9,0.245,32.46
195,72.6,0.229,32.29
196,73.7,0.213,32.39
197,71.4,0.23,32.46
198,73.9,0.226,32.44
199,71.2,0.256,32.37
